ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,PartOfCumulativeCountSeries,AgeRange,Subpopulation,PlaceOfAcquisition,DiagnosisCertainty,SourceName,CountValue
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/7/2002,31/7/2002,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,318
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/8/2002,31/8/2002,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,301
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/9/2002,30/9/2002,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,330
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/10/2002,31/10/2002,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,613
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/11/2002,30/11/2002,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,750
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/12/2002,31/12/2002,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,708
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/1/2003,31/1/2003,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,1046
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/2/2003,28/2/2003,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,549
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/3/2003,31/3/2003,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,276
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/4/2003,30/4/2003,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,133
