ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Weeks,PeriodStartDate,PeriodEndDate,CountValue
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,40,1/10/2011,7/10/2011,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,41,8/10/2011,14/10/2011,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,42,15/10/2011,21/10/2011,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,43,22/10/2011,28/10/2011,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,44,29/10/2011,4/11/2011,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,45,5/11/2011,11/11/2011,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,46,12/11/2011,18/11/2011,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,47,19/11/2011,25/11/2011,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,48,26/11/2011,2/12/2011,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,49,3/12/2011,9/12/2011,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,50,10/12/2011,16/12/2011,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,51,17/12/2011,23/12/2011,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,52,24/12/2011,30/12/2011,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,1,1/1/2012,7/1/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,2,8/1/2012,14/1/2012,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,3,15/1/2012,21/1/2012,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,4,22/1/2012,28/1/2012,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,5,29/1/2012,4/2/2012,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,6,5/2/2012,11/2/2012,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,7,12/2/2012,18/2/2012,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,8,19/2/2012,25/2/2012,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,9,26/2/2012,3/3/2012,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,10,4/3/2012,10/3/2012,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,11,11/3/2012,17/3/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,12,18/3/2012,24/3/2012,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,13,25/3/2012,31/3/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,14,1/4/2012,7/4/2012,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,15,8/4/2012,14/4/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,16,15/4/2012,21/4/2012,4
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,17,22/4/2012,28/4/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,18,29/4/2012,5/5/2012,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,19,6/5/2012,12/5/2012,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,20,13/5/2012,19/5/2012,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,21,20/5/2012,26/5/2012,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,22,27/5/2012,2/6/2012,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,23,3/6/2012,9/6/2012,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,24,10/6/2012,16/6/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,25,17/6/2012,23/6/2012,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,26,24/6/2012,30/6/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,27,1/7/2012,7/7/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,28,8/7/2012,14/7/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,29,15/7/2012,21/7/2012,4
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,30,22/7/2012,28/7/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,31,29/7/2012,4/8/2012,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,32,5/8/2012,11/8/2012,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,33,12/8/2012,18/8/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,34,19/8/2012,25/8/2012,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,35,26/8/2012,1/9/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,36,2/9/2012,8/9/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,37,9/9/2012,15/9/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,38,16/9/2012,22/9/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,39,23/9/2012,29/9/2012,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,40,30/9/2012,6/10/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,41,7/10/2012,13/10/2012,0
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,42,14/10/2012,20/10/2012,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,43,21/10/2012,27/10/2012,0
