Fatalities,Weeks,PeriodStartDate,CountValue,Year,Month,Admin1Name_JOHOR,Admin1Name_KEDAH,Admin1Name_KELANTAN,Admin1Name_MELAKA,Admin1Name_NEGERI SEMBILAN,Admin1Name_PAHANG,Admin1Name_PERAK,Admin1Name_PERLIS,Admin1Name_PULAU PINANG,Admin1Name_SABAH,Admin1Name_SARAWAK,Admin1Name_SELANGOR,Admin1Name_TERENGGANU,Admin1Name_WP KUALA LUMPUR,Admin1Name_WP LABUAN
0.0,0.11764705882352942,2011-02-12,11,0.09090909090909349,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.13725490196078433,2011-02-19,12,0.09090909090909349,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1568627450980392,2011-02-26,4,0.09090909090909349,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1764705882352941,2011-03-05,3,0.09090909090909349,0.1818181818181818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.19607843137254904,2011-03-12,6,0.09090909090909349,0.1818181818181818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.21568627450980393,2011-03-19,4,0.09090909090909349,0.1818181818181818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.23529411764705882,2011-03-26,3,0.09090909090909349,0.1818181818181818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.25490196078431376,2011-04-02,4,0.09090909090909349,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.27450980392156865,2011-04-09,7,0.09090909090909349,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.29411764705882354,2011-04-16,3,0.09090909090909349,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
